2013.06.13,10:10:03,18.7
2013.06.13,10:10:14,18.8
2013.06.13,10:10:44,18.9
2013.06.13,10:10:54,18.8
2013.06.13,10:11:22,18.9
2013.06.13,10:11:32,18.8
2013.06.13,10:11:47,18.9
2013.06.13,10:12:34,19.0
2013.06.13,10:12:45,18.9
2013.06.13,10:13:00,19.0
2013.06.13,10:13:11,18.9
2013.06.13,10:13:23,19.0
2013.06.13,10:13:34,18.9
2013.06.13,10:13:45,19.0
2013.06.13,10:13:56,18.9
2013.06.13,10:14:09,19.0
2013.06.13,10:14:20,18.9
2013.06.13,10:14:34,19.0
2013.06.13,10:14:45,18.9
2013.06.13,10:14:57,19.0
2013.06.13,10:15:08,18.9
2013.06.13,10:15:19,19.0
2013.06.13,10:15:34,19.1
2013.06.13,10:15:45,19.0
2013.06.13,10:15:57,19.1
2013.06.13,10:16:08,19.0
2013.06.13,10:16:20,19.1
2013.06.13,10:16:31,19.0
2013.06.13,10:16:48,19.1
2013.06.13,10:16:58,19.0
2013.06.13,10:17:11,19.1
2013.06.13,10:17:22,19.0
2013.06.13,10:17:34,19.1
2013.06.13,10:17:45,19.0
2013.06.13,10:17:57,19.1
2013.06.13,10:18:07,19.0
2013.06.13,10:18:19,19.1
2013.06.13,10:19:31,19.2
2013.06.13,10:19:42,19.1
2013.06.13,10:20:10,19.2
2013.06.13,10:20:20,19.1
2013.06.13,10:20:46,19.2
2013.06.13,10:20:57,19.1
2013.06.13,10:21:21,19.2
2013.06.13,10:21:32,19.1
2013.06.13,10:21:58,19.2
2013.06.13,10:22:09,19.1
2013.06.13,10:22:32,19.2
2013.06.13,10:22:43,19.1
2013.06.13,10:23:03,19.2
2013.06.13,10:23:14,19.1
2013.06.13,10:23:37,19.2
2013.06.13,10:23:48,19.1
2013.06.13,10:24:11,19.2
2013.06.13,10:24:22,19.1
2013.06.13,10:24:34,19.2
2013.06.13,10:24:45,19.1
2013.06.13,10:24:57,19.2
2013.06.13,10:25:08,19.1
2013.06.13,10:25:19,19.2
2013.06.13,10:25:30,19.1
2013.06.13,10:25:42,19.2
2013.06.13,10:25:52,19.1
2013.06.13,10:26:03,19.2
2013.06.13,10:26:25,19.3
2013.06.13,10:26:35,19.2
2013.06.13,10:26:53,19.3
2013.06.13,10:27:04,19.2
2013.06.13,10:27:20,19.3
